epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,3.507839379025929,0.5693097016704616,2.652023532811333,0.5932247919194839
1,2.183733329844119,0.5606343283582089,2.008811635129592,0.6158088235294118
2,1.7010733503014295,0.5895522388059702,1.3829307380844564,0.6271008428405312
3,1.364217013565462,0.576305970327178,0.9953137110261356,0.6394432783126831
4,1.1636459418197176,0.5962686565384936,0.9825219511985779,0.6223739525851082
5,1.0069964376848135,0.5853544776119403,0.8237553729730493,0.6551995838389677
6,0.9092593984817391,0.6096082089552238,0.8075283555423513,0.6578256312538596
7,0.9096226407520807,0.5911380595235682,0.8536941479234135,0.6168592467027552
8,0.8805704152406152,0.6049440298507462,0.7921976867844077,0.6420693292337305
9,0.9076088088661877,0.5928171641791045,0.69883552719565,0.6853991606656242
10,0.8590963322724869,0.6105410447761194,0.7697138225331026,0.6683298349380493
