epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,2.4715271200706708,0.5754560534633807,1.247671737390406,0.6793592467027552
1,1.5915658847609562,0.6055140962351614,1.377213800654692,0.65625
2,1.5068325391456263,0.6081571312093023,1.126698581611409,0.7029937014860266
3,1.4588516754890555,0.6123548924033322,1.2711703041020561,0.6412815136068007
4,1.4493187950618232,0.6136504976607081,1.1454528710421394,0.6848739525851082
5,1.4079193357211441,0.6171745439963554,1.0608945523991304,0.6822479016640607
6,1.4384166927479987,0.5908478445081569,1.0680071536232443,0.7029937014860266
7,1.2526750724707076,0.6295605310753211,1.0977572377990275,0.6832983213312486
8,1.220039113244014,0.6220978445081569,1.1430243569261886,0.6798844547832713
9,1.2441913049612472,0.6274875624855952,1.1319027367760153,0.6551995803328121
10,1.1764467892362112,0.6346393036308573,1.1416101876427145,0.6452205882352942
11,1.239557765313049,0.617900083314127,1.0857723776031942,0.6783088235294118
12,1.2516669817824861,0.6196102820225616,0.9995803833007812,0.6688550430185655
13,1.2035208798166532,0.6192993370454702,0.971682748373817,0.6811974819968728
14,1.1095928874478411,0.6354684909777855,0.9117984596420737,0.6811974819968728
15,1.1694092981850923,0.624481758074974,0.9938539021155414,0.6806722704102012
16,1.0826378251189617,0.6307006633993405,1.0958723636234509,0.6407563055262846
17,1.0097489739531902,0.647543532634849,0.9453598611495074,0.6738445408204022
18,1.0691188965270768,0.6127176618398126,0.9490105860373553,0.6769957998219658
19,1.0561027291105753,0.632669983515099,0.8094197196118972,0.6993172308977913
