Model,Best Test Accuracy,Epoch of Best Accuracy,Best Test Loss,Epoch of Best Loss,Final Test Accuracy,Final Test Loss
MobileNetV3Small_NotFreezed,0.9138655487228844,17,0.2162493980106185,17,0.9136029411764706,0.2196414001724299
MobileNetV3Small_Freezed,0.8757878191330853,4,0.3321575154276455,4,0.8555672308977913,0.3369501206804724
MobileNetV3Small_Freezed2,0.8495273134287666,18,0.3757061344735762,19,0.8482142897213206,0.3757061344735762
ModelB,0.7029937014860266,2,0.8094197196118972,19,0.6993172308977913,0.8094197196118972
ModelA,0.676207984195036,4,1.0113835650331833,18,0.6394432783126831,1.1441927552223206
