epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.6699028313159943,0.717372434006797,0.43502840399742126,0.827717399597168
1,0.5952239632606506,0.7493017812569936,0.4513665080070496,0.8161005496978759
2,0.5325227263900969,0.7776079409652286,0.4527847826480865,0.814673912525177
3,0.5334219170941247,0.7801177534792159,0.4522670328617096,0.815896737575531
4,0.5279555983013577,0.7811745173401303,0.5003142952919006,0.809103262424469
5,0.4832576546404097,0.7912137673960792,0.41790523529052737,0.831521737575531
6,0.4954988724655575,0.7853260868125491,0.39990665912628176,0.835529899597168
7,0.4793955170445972,0.7953653401798673,0.3959599256515503,0.839334237575531
8,0.48207342127958935,0.7965730693605211,0.4167348563671112,0.842119562625885
9,0.4496451069911321,0.8141794999440511,0.36484301686286924,0.839877724647522
10,0.4717363748285506,0.7932329409652286,0.42389668226242067,0.829279899597168
11,0.4540650066402223,0.8078011771043142,0.4173256576061249,0.811413049697876
12,0.43849271204736495,0.8067444165547689,0.3899241745471954,0.84544837474823
13,0.451354506942961,0.8129528992705874,0.4341980516910553,0.8133152246475219
14,0.4543108145395915,0.8079521457354227,0.3552604913711548,0.854279899597168
15,0.46538637909624314,0.8007057673401303,0.4011132180690765,0.848029899597168
16,0.4547540098428726,0.8079898854096731,0.4210997462272644,0.848709237575531
17,0.4084557874335183,0.8330314026938545,0.43388808369636533,0.832744562625885
18,0.41032621098889244,0.82608695824941,0.41239442229270934,0.846671199798584
19,0.42046884695688885,0.8167270554436578,0.41180587410926817,0.821807062625885
20,0.41549961434470284,0.8282570971382989,0.3982588052749634,0.845584237575531
21,0.4143025444613563,0.8265587257014381,0.3454941689968109,0.8501358747482299
22,0.4241784413655599,0.8231431179576449,0.33069224953651427,0.8574048995971679
23,0.42905716266896987,0.8201049235132005,0.336028715968132,0.843546199798584
24,0.41373053193092346,0.8234827915827433,0.5213759064674377,0.792798912525177
25,0.41912399066819084,0.8165760868125491,0.4290625810623169,0.816440224647522
