epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.7412037844978162,0.6998341626195765,0.4535681657931384,0.8298319367801442
1,0.557893055143641,0.7700041461346755,0.38049261096645803,0.8469012625077191
2,0.5342735114382274,0.7692786072617146,0.3989795586642097,0.8261554661919089
3,0.5217860776986649,0.7797989222540784,0.41063913001733665,0.8408613485448501
4,0.5037997173729227,0.7753420400975356,0.3321575154276455,0.8757878191330853
5,0.47645289973536536,0.796382670082263,0.3744404464960098,0.8303571448606604
6,0.4795835854402229,0.796382670082263,0.38272840836468863,0.8377100860371309
7,0.4709504651489542,0.800580431276293,0.40557126350262585,0.8542542036841897
8,0.4805394513393516,0.7888163350411316,0.3913387393250185,0.8450630272136015
9,0.4470665032294259,0.8147802655376605,0.34144805108799653,0.8629201720742619
10,0.4287122116604848,0.8304311775449497,0.4365263607572107,0.7988445408204022
11,0.43614117222935406,0.8103233833811176,0.3937407293740441,0.8482142897213206
12,0.44763582477818675,0.8015132670971885,0.3376149149502025,0.8647584073683795
13,0.40887711875474275,0.8234349088882332,0.3756895109134562,0.8298319367801442
14,0.4087968556516206,0.8294465177094759,0.38777050200630636,0.8560924389783073
15,0.42450245102839684,0.8246268656716418,0.4204967810827143,0.8177521018420949
16,0.4186924900581588,0.8199626865671642,0.3980405190411736,0.8274684898993548
17,0.42514474067225383,0.8201181595005206,0.35320239908554973,0.8579306742724251
18,0.39099089334260173,0.8376347431496008,0.4369150382630965,0.8182773134287666
19,0.3811411797555525,0.8414179104477612,0.3369501206804724,0.8555672308977913
